first,last,id,url
Apostolos,Filippas,apostolos,http://www.apostolos-filippas.com/
Moshe,Barach,moshe,https://moshebarach.com/
Richard,Zeckhauser,rjz,https://www.hks.harvard.edu/faculty/richard-zeckhauser
Joseph,Golden,jg,https://www.linkedin.com/in/jgolden9
Prasanna,Tambe,sonny,https://oid.wharton.upenn.edu/profile/tambe/
David,Rand,daverand,https://mitsloan.mit.edu/faculty/directory/david-g-rand
Ramesh,Johari,rj,http://web.stanford.edu/~rjohari/
Philipp ,Kircher,pk,https://philippkircher.com/
Elliot ,Lipnowski,elliot,https://elliotlipnowski.com/
Andrey,Fradkin,andrey,https://andreyfradkin.com/
Chiara,Farronato,cf,https://www.hbs.edu/faculty/Pages/profile.aspx?facId=775022
El Hadi,Caoui,ehc,https://elhadicaoui.github.io/
Daniel,Chen,dlc,https://www.tse-fr.eu/people/daniel-l-chen
Jonathan,Hall,jvh,https://www.linkedin.com/in/jonathan-hall-451b552
Dan,Knoepfle,dk,https://www.linkedin.com/in/daniel-knoepfle
Aniket,Kittur,ak,
Jeffrey,Nickerson,jn,
Michael,Bernstein,mb,
Elizabeth,Gerber,eg,
Aaron ,Shaw,aaron,
John ,Zimmerman,jz,
Matt,Lease,ml,
Erik ,Brynjolfsson,eb,
Adam,Ozimek,ao,
Daniel,Rock,dr,
Garima,Sharma,gs,
Hong-Yi ,TuYe,ht,
Christopher,Stanton,cs,
Robert,Miller,rm,
Greg,Little,gl,
Jeffrey,Bigham,jb,
Lydia,Chilton,lc,
Max,Goldman,mg,
Rajeev,Nayak,rn,
Elizabeth,Lyons,el,
Nicola,Lacetera,nl,
Ajay ,Agrawal,aa,
Emma,van Inwegen,ev,
Shiri,Azenkot,sa,
Dana,Chandler,dana,
Zanele,Munyikwa,zm,
William,Kerr,bill_kerr,
Monica,Bhole,monica,
Panos,Ipeirotis,panos,
